experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,recall,20,-0.49852167683277476,-0.5074507767505161,0.06665464687155459,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,CA-APSRG,specificity,20,0.03275133312762715,0.02823382605436131,0.016632377258242334,20,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,accuracy,20,0.004047225501770951,-0.0049811097992915054,0.0340043574778067,8,0,12
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,balanced_accuracy,20,-0.2841143922203885,-0.30260467418965104,0.057109403307378015,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,dice,20,-0.3304267622770093,-0.4010460801168088,0.17627497649886828,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,f1_score,20,-0.3304267622770093,-0.4010460801168088,0.17627497649886828,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,iou,20,-0.2941347660561232,-0.3439072026412338,0.160492950086362,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,precision,20,0.2493875508042424,0.31360685731985105,0.21612782707651437,18,0,2
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,recall,20,-0.6245061101877083,-0.6567567774100342,0.09993554697143774,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,specificity,20,0.0562773257469313,0.05089262404927297,0.023236882570603887,20,0,0
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,CA-APSRG,accuracy,20,0.0023166469893741992,-0.005289256198347081,0.03129612932945901,7,0,13
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,CA-APSRG,balanced_accuracy,20,-0.2847877003333498,-0.30275592513705185,0.056268905156826095,0,0,20
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,CA-APSRG,dice,20,-0.3345252344749784,-0.4024691761690981,0.17067807517245825,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,CA-APSRG,f1_score,20,-0.3345252344749784,-0.4024691761690981,0.17067807517245825,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,CA-APSRG,iou,20,-0.2978460365880496,-0.34506251282027844,0.15610468836894545,2,0,18
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,CA-APSRG,precision,20,0.24494324139393336,0.31117927923477906,0.21319243336303648,18,0,2
