comparison,left_experiment,right_experiment,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,iou,28,0.26521612573908165,0.26766480395135817,0.05604512073161525
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,precision,28,-0.06860472353822164,-0.06527082129764061,0.08796574091138298
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,recall,28,0.42389043047106006,0.4420397855018944,0.07035135940115048
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,APSRG,specificity,28,-0.02238311981923946,-0.02096477269421948,0.005735935413273497
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,accuracy,28,0.008396789646789684,0.009009009009008917,0.007826377962746756
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,balanced_accuracy,28,0.20075617327416087,0.20927565608754822,0.03355715835039544
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,dice,28,0.3178228806370991,0.327455306419599,0.06594168298126327
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,f1_score,28,0.3178228806370991,0.327455306419599,0.06594168298126327
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,iou,28,0.2652277566254471,0.2676978322686079,0.056039670308423044
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,precision,28,-0.06861152334068886,-0.06527082129764061,0.08795936411581713
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,recall,28,0.4238943346241081,0.4420397855018944,0.0703473080869984
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,CHASEDB1,CA-APSRG,specificity,28,-0.022381988075786324,-0.02096477269421948,0.005736603116065017
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,accuracy,20,0.03227027168615769,0.03212240005336919,0.01691734441166732
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,balanced_accuracy,20,0.25214168446035046,0.25894846190177695,0.03590422633553473
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,dice,20,0.3992655575588266,0.4140566319340024,0.08257640090805686
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,f1_score,20,0.3992655575588266,0.4140566319340024,0.08257640090805686
r03_edge_region_mean_to_r04_local_or_region,r03_edge_region_mean,r04_local_or_region,DRIVE,APSRG,iou,20,0.3643063958986383,0.38207683829528793,0.07314003666376491
