experiment,experiment_label,dataset,output_method,metric,n_pairs,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value,bootstrap_mean_ci_low,bootstrap_mean_ci_high
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,specificity,20,0.04143870589125095,0.03421052258534202,0.020158389459752356,20,0,0,0.0,1.9073486328125e-06,0.03327440149852595,0.050589234822144315
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,f1_score,28,-0.027570723585526046,-0.030961365334039703,0.06396241412676279,9,0,19,112.0,0.0379299521446228,-0.050031281314241914,-0.0041387119193192256
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,f1_score,20,-0.14095679076754847,-0.13848334694792996,0.056201338920714286,0,0,20,0.0,1.9073486328125e-06,-0.1642259287615756,-0.11672979644911755
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,f1_score,20,-0.07420110554852746,-0.09199141955067036,0.10460346315638439,3,0,17,34.0,0.006389617919921875,-0.11646671212602892,-0.02588910104588703
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,iou,28,-0.024578224381810367,-0.030583999815160495,0.059453058641786065,9,0,19,115.0,0.0451183095574379,-0.04548084723470859,-0.002550786241847765
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,iou,20,-0.1510929442017932,-0.15742028816720754,0.060546287790615924,0,0,20,0.0,1.9073486328125e-06,-0.1768726175543691,-0.12480275608698412
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,iou,20,-0.08336879533542174,-0.1026700507353289,0.10675764838495212,3,0,17,30.0,0.00365447998046875,-0.12803942960930112,-0.0378228405036494
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,balanced_accuracy,28,-0.10442420547566685,-0.1103429325593645,0.030411546361351238,0,0,28,0.0,7.450580596923828e-09,-0.11558750523629077,-0.0930405421362333
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,balanced_accuracy,20,-0.11477595073637314,-0.11021807272990791,0.027532251080559914,0,0,20,0.0,1.9073486328125e-06,-0.1269693431842203,-0.10356786409850313
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,balanced_accuracy,20,-0.14406431051831073,-0.15353542661338715,0.04219029581935402,0,0,20,0.0,1.9073486328125e-06,-0.16143869159930718,-0.12496968553970654
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",CHASEDB1,CA-APSRG,dice,28,-0.027570723585526046,-0.030961365334039703,0.06396241412676279,9,0,19,112.0,0.0379299521446228,-0.050364733054366354,-0.00405756256458215
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",DRIVE,CA-APSRG,dice,20,-0.14095679076754847,-0.13848334694792996,0.056201338920714286,0,0,20,0.0,1.9073486328125e-06,-0.16389479827848374,-0.11673188160174551
r02_selective77_radius1_bfs,"R02 - Selective fuzzy-Harris, 77 seeds, radius 1, BFS",STARE,CA-APSRG,dice,20,-0.07420110554852746,-0.09199141955067036,0.10460346315638439,3,0,17,34.0,0.006389617919921875,-0.11508708096429152,-0.02653281890996538
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,accuracy,28,0.01680899649649647,0.016039998331664918,0.009254503931826598,26,0,2,3.0,3.725290298461914e-08,0.013468544809690623,0.020227764036357728
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,accuracy,20,-0.0331084659905308,-0.03802769573663484,0.0228584468099859,2,0,18,7.0,3.62396240234375e-05,-0.04210355267003997,-0.022777680163574388
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,STARE,APSRG,accuracy,20,0.004047225501770951,-0.0049811097992915054,0.0340043574778067,8,0,12,100.0,0.8694877624511719,-0.009733536009445135,0.019685619834710677
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,CHASEDB1,APSRG,precision,28,0.22212995686725986,0.21537652720781814,0.09806268448618112,28,0,0,0.0,7.450580596923828e-09,0.18775169679194748,0.2601691892301171
r03_edge_region_mean,R03 - Selective 77/radius 1 with region-mean edge growing,DRIVE,APSRG,precision,20,0.09509683847143231,0.0396331937364941,0.14490208608596142,12,0,8,52.0,0.04844093322753906,0.03528486164708707,0.15938259270182073
